<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.02.20	1.36886	1.38372	1.35278	1.37523	354659	0	7
2011.02.27	1.37470	1.40052	1.37110	1.39863	359458	0	7
2011.03.06	1.39921	1.40354	1.37519	1.39016	359940	0	5
2011.03.13	1.39507	1.41831	1.38550	1.41793	416914	0	8
2011.03.20	1.41808	1.42479	1.40534	1.40868	330571	0	8
2011.03.27	1.40463	1.42448	1.40204	1.42344	326961	0	7
2011.04.03	1.42312	1.44869	1.41511	1.44823	325238	0	6
2011.04.10	1.44530	1.45193	1.43647	1.44285	348475	0	7
2011.04.17	1.44162	1.46478	1.41574	1.45597	326017	0	7
2011.04.24	1.45604	1.48809	1.44929	1.48062	311532	14575658000	7
2011.05.01	1.48249	1.49385	1.43117	1.43149	375582	0	7
2011.05.08	1.43656	1.44407	1.40672	1.41170	376884	0	8
2011.05.15	1.40753	1.43451	1.40478	1.41573	235100	0	7
2011.05.22	1.41318	1.43216	1.39692	1.43173	346292	0	8
2011.05.29	1.43099	1.46420	1.42567	1.46327	342030	0	7
2011.06.05	1.46269	1.46955	1.43223	1.43458	283803	0	6
2011.06.12	1.43270	1.44971	1.40731	1.42858	413507	0	7
2011.06.19	1.42747	1.44407	1.41265	1.41865	406219	0	6
2011.06.26	1.41875	1.45501	1.41023	1.45246	373990	0	6
2011.07.03	1.45366	1.45769	1.42059	1.42632	366657	0	5
2011.07.10	1.42236	1.42808	1.38371	1.41566	474565	0	7
2011.07.17	1.41208	1.44375	1.40138	1.43580	500747	0	7
2011.07.24	1.43997	1.45350	1.42293	1.43945	402186	42079361000	5
2011.07.31	1.43607	1.44526	1.40553	1.42804	476302	46180586000	7
2011.08.07	1.43705	1.44006	1.41039	1.42479	568034	0	4
2011.08.14	1.42639	1.45167	1.42585	1.43950	467630	0	6
2011.08.21	1.43735	1.45008	1.43283	1.44984	418218	0	4
2011.08.28	1.44916	1.45482	1.41839	1.42037	428297	251457613316	6
2011.09.04	1.41571	1.42544	1.36272	1.36532	479792	0	6
2011.09.11	1.35783	1.39359	1.34989	1.37941	544412	0	6
2011.09.18	1.36761	1.37953	1.33856	1.34974	569330	0	4
2011.09.25	1.35078	1.36892	1.33624	1.33846	565075	0	4
2011.10.02	1.33447	1.35241	1.31458	1.33755	575815	0	2
2011.10.09	1.33863	1.38936	1.33774	1.38780	498006	0	6
2011.10.16	1.38782	1.39137	1.36526	1.38917	519353	0	6
2011.10.23	1.38686	1.42460	1.37997	1.41453	522590	0	6
2011.10.30	1.41501	1.41695	1.36085	1.37898	543775	0	6
2011.11.06	1.38160	1.38580	1.34837	1.37672	494669	0	5
2011.11.13	1.37759	1.37919	1.34213	1.35222	521416	0	4
2011.11.20	1.35214	1.35678	1.32119	1.32375	459859	0	4
2011.11.27	1.33095	1.35449	1.32587	1.33898	444935	0	4
2011.12.04	1.34094	1.34851	1.32810	1.33842	418893	0	4
2011.12.11	1.33636	1.33759	1.29462	1.30419	418630	0	6
2011.12.18	1.30328	1.31956	1.29828	1.30451	349511	0	3
2011.12.25	1.30487	1.30824	1.28577	1.29565	286579	0	5
2012.01.01	1.29443	1.30762	1.26972	1.27188	373701	0	5
2012.01.08	1.26923	1.28778	1.26241	1.26754	416779	0	5
2012.01.15	1.26383	1.29854	1.26254	1.29298	414711	0	5
2012.01.22	1.28808	1.32330	1.28807	1.32189	399132	0	4
2012.01.29	1.32148	1.32206	1.30257	1.31561	418856	0	4
2012.02.05	1.31211	1.33199	1.30278	1.31957	426978	0	5
2012.02.12	1.32380	1.32833	1.29745	1.31418	427567	0	5
2012.02.19	1.32026	1.34856	1.31821	1.34478	388764	0	4
2012.02.26	1.34595	1.34851	1.31876	1.31979	330114	0	5
2012.03.04	1.31953	1.32904	1.30961	1.31221	388769	0	5
2012.03.11	1.31160	1.31905	1.30032	1.31735	359095	0	5
2012.03.18	1.31797	1.32916	1.31343	1.32690	341352	0	5
2012.03.25	1.32680	1.33848	1.31919	1.33408	348155	0	5
2012.04.01	1.33562	1.33801	1.30346	1.30911	333420	0	5
2012.04.08	1.30961	1.32122	1.30330	1.30764	353276	0	5
2012.04.15	1.30690	1.32262	1.29945	1.32170	380825	0	5
2012.04.22	1.31920	1.32695	1.31042	1.32514	353589	0	5
2012.04.29	1.32408	1.32828	1.30799	1.30832	306452	0	5
2012.05.06	1.30245	1.30645	1.29044	1.29162	391689	0	5
2012.05.13	1.28872	1.29038	1.26417	1.27783	390345	0	5
2012.05.20	1.27767	1.28230	1.24964	1.25153	431732	0	5
2012.05.27	1.25707	1.26235	1.22882	1.24325	429758	0	5
2012.06.03	1.24371	1.26243	1.23854	1.25160	436821	0	5
2012.06.10	1.26478	1.26677	1.24423	1.26361	437695	0	5
2012.06.17	1.27371	1.27468	1.25191	1.25677	439106	0	5
2012.06.24	1.25544	1.26918	1.24071	1.26655	420423	0	5
2012.07.01	1.26696	1.26703	1.22598	1.22875	376626	0	5
2012.07.08	1.22659	1.23331	1.21622	1.22485	379199	0	4
2012.07.15	1.22498	1.23214	1.21440	1.21551	379945	0	5
2012.07.22	1.21217	1.23889	1.20418	1.23211	433996	0	5
2012.07.29	1.23012	1.24011	1.21337	1.23848	397075	0	4
2012.08.05	1.23945	1.24422	1.22409	1.22884	374313	0	5
2012.08.12	1.22864	1.23849	1.22561	1.23327	336236	0	5
2012.08.19	1.23380	1.25885	1.22948	1.25109	345156	0	5
2012.08.26	1.25118	1.26360	1.24647	1.25783	271377	0	4
2012.09.02	1.25803	1.28165	1.25012	1.28154	318095	0	5
2012.09.09	1.28064	1.31676	1.27543	1.31286	350167	0	5
2012.09.16	1.31239	1.31706	1.29201	1.29788	361906	0	5
2012.09.23	1.29789	1.29798	1.28293	1.28595	337360	0	4
2012.09.30	1.28488	1.30708	1.28031	1.30391	308188	0	5
2012.10.07	1.30231	1.30246	1.28253	1.29503	285281	0	5
2012.10.14	1.29545	1.31384	1.28908	1.30230	289648	0	5
2012.10.21	1.30231	1.30824	1.28819	1.29385	277072	0	3
2012.10.28	1.29244	1.30199	1.28207	1.28333	226267	0	2
2012.11.04	1.28198	1.28757	1.26895	1.27106	316553	0	4
2012.11.11	1.27154	1.28010	1.26612	1.27418	291536	0	4
2012.11.18	1.27411	1.29896	1.27359	1.29729	279968	0	4
2012.11.25	1.29731	1.30267	1.28796	1.29848	286756	0	3
2012.12.02	1.29934	1.31253	1.28769	1.29261	274917	0	4
2012.12.09	1.28992	1.31727	1.28855	1.31622	258494	0	4
2012.12.16	1.31821	1.33076	1.31437	1.31867	266256	0	3
2012.12.23	1.31790	1.32833	1.31654	1.32146	153549	0	3
2012.12.30	1.32157	1.32992	1.29975	1.30677	221137	0	4
2013.01.06	1.30779	1.33644	1.30165	1.33416	256383	0	3
2013.01.13	1.33621	1.34031	1.32564	1.33195	269667	0	4
2013.01.20	1.33107	1.34785	1.32642	1.34629	253063	0	4
2013.01.27	1.34598	1.37106	1.34140	1.36391	278255	0	4
2013.02.03	1.36488	1.36532	1.33532	1.33614	300546	0	2
2013.02.10	1.33682	1.35193	1.33062	1.33585	261414	0	1
2013.02.17	1.33484	1.34316	1.31451	1.31907	182856	0	2
2013.02.24	1.31904	1.33183	1.29664	1.30180	232860	0	2
2013.03.03	1.30136	1.31341	1.29550	1.30042	138496	0	1
2013.03.10	1.29892	1.31069	1.29110	1.30754	233950	0	1
2013.03.17	1.29071	1.30095	1.28438	1.29867	272748	0	1
2013.03.24	1.29724	1.30479	1.27509	1.28148	217289	0	1
2013.03.31	1.28112	1.30397	1.27454	1.29915	208051	0	1
2013.04.07	1.29937	1.31380	1.29683	1.31082	221065	0	1
2013.04.14	1.31025	1.32015	1.30011	1.30510	274110	0	1
2013.04.21	1.30691	1.30933	1.29547	1.30267	228404	0	1
2013.04.28	1.30585	1.32427	1.30318	1.31131	210198	0	1
2013.05.05	1.31170	1.31944	1.29350	1.29853	200456	0	1
2013.05.12	1.29756	1.30293	1.27962	1.28363	226292	0	1
2013.05.19	1.28446	1.29980	1.28192	1.29278	272812	0	1
2013.05.26	1.29363	1.30614	1.28378	1.29956	277809	0	1
2013.06.02	1.29922	1.33045	1.29555	1.32168	312740	0	1
2013.06.09	1.31917	1.33898	1.31772	1.33445	305920	0	1
2013.06.16	1.33487	1.34158	1.30988	1.31209	298649	0	1
2013.06.23	1.31042	1.31508	1.29848	1.30078	290631	0	1
2013.06.30	1.30144	1.30780	1.28061	1.28291	261610	0	1
2013.07.07	1.28204	1.32066	1.27553	1.30651	304889	0	1
2013.07.14	1.30664	1.31781	1.29934	1.31408	243185	0	1
2013.07.21	1.31366	1.32968	1.31358	1.32765	226713	0	1
2013.07.28	1.32792	1.33446	1.31877	1.32798	234527	0	1
2013.08.04	1.32813	1.34002	1.32327	1.33387	210976	0	1
2013.08.11	1.33366	1.33798	1.32058	1.33279	210860	0	1
2013.08.18	1.33354	1.34518	1.32980	1.33788	224721	0	1
2013.08.25	1.33819	1.33986	1.31750	1.32195	200056	0	1
2013.09.01	1.32122	1.32270	1.31047	1.31766	172401	0	1
2013.09.08	1.31735	1.33244	1.31651	1.32932	168688	0	1
2013.09.15	1.33627	1.35685	1.33251	1.35217	178562	0	1
2013.09.22	1.35318	1.35642	1.34622	1.35216	159908	0	1
2013.09.29	1.34819	1.36455	1.34775	1.35565	181131	0	1
2013.10.06	1.35629	1.36070	1.34857	1.35372	167283	0	1
2013.10.13	1.35569	1.37036	1.34734	1.36853	175662	0	1
2013.10.20	1.36829	1.38320	1.36509	1.38020	158117	0	1
2013.10.27	1.38080	1.38171	1.34799	1.34858	180256	0	1
2013.11.03	1.34910	1.35472	1.32959	1.33644	175919	0	1
2013.11.10	1.33574	1.35046	1.33445	1.34943	178305	0	1
