<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.09.19	1.56560	1.58421	1.55030	1.58228	193600	0	15
2010.09.26	1.58210	1.59214	1.56688	1.58189	235590	0	15
2010.10.03	1.58040	1.60166	1.57479	1.59550	246725	0	15
2010.10.10	1.59520	1.61054	1.57546	1.59901	220894	0	15
2010.10.17	1.59809	1.60022	1.56494	1.56799	265135	0	18
2010.10.24	1.56636	1.60442	1.56633	1.60384	339699	0	10
2010.10.31	1.60438	1.62980	1.59609	1.61809	363474	0	15
2010.11.07	1.61877	1.62126	1.59528	1.61123	407150	0	15
2010.11.14	1.61253	1.61531	1.58388	1.59784	413889	0	15
2010.11.21	1.60009	1.60833	1.55761	1.55903	446485	0	15
2010.11.28	1.55994	1.57866	1.54842	1.57736	494522	0	15
2010.12.05	1.57672	1.58608	1.56550	1.58004	455484	0	17
2010.12.12	1.57980	1.59096	1.54540	1.55314	426838	0	7
2010.12.19	1.55144	1.55754	1.53556	1.54430	345949	0	15
2010.12.26	1.54386	1.56643	1.53446	1.56092	326780	0	15
2011.01.02	1.55431	1.56448	1.54057	1.55457	428831	0	15
2011.01.09	1.55354	1.58876	1.54746	1.58667	449711	0	15
2011.01.16	1.58734	1.60577	1.58347	1.59981	466797	0	14
2011.01.23	1.59937	1.60152	1.57509	1.58592	491855	0	7
2011.01.30	1.58319	1.62767	1.58213	1.61089	447858	0	15
2011.02.06	1.60966	1.61842	1.59626	1.60049	322992	0	15
2011.02.13	1.60038	1.62614	1.59808	1.62521	378164	0	15
2011.02.20	1.62420	1.62719	1.60305	1.61162	405142	0	15
2011.02.27	1.60826	1.63430	1.60705	1.62666	404878	0	10
2011.03.06	1.62758	1.63401	1.59766	1.60784	386920	0	15
2011.03.13	1.60827	1.62525	1.59780	1.62323	470782	0	15
2011.03.20	1.62287	1.64001	1.60062	1.60398	398701	0	15
2011.03.27	1.60075	1.61498	1.59357	1.61085	381412	0	15
2011.04.03	1.61092	1.64267	1.60912	1.63794	358754	0	15
2011.04.10	1.63727	1.64249	1.62268	1.63236	370367	0	15
2011.04.17	1.63188	1.65984	1.61661	1.65061	339152	0	15
2011.04.24	1.65169	1.67449	1.64311	1.67030	366939	10714850000	8
2011.05.01	1.67070	1.67371	1.63542	1.63618	412971	0	15
2011.05.08	1.63746	1.65154	1.61471	1.61927	381773	0	15
2011.05.15	1.61758	1.63045	1.61052	1.62285	190395	0	8
2011.05.22	1.62208	1.65118	1.60335	1.65056	288178	0	8
2011.05.29	1.64820	1.65461	1.62869	1.64237	356338	0	15
2011.06.05	1.64243	1.64705	1.62192	1.62224	280780	0	15
2011.06.12	1.62349	1.64409	1.60776	1.61613	416598	0	15
2011.06.19	1.61608	1.62610	1.59375	1.59570	426235	0	15
2011.06.26	1.59610	1.61176	1.59116	1.60681	408949	0	15
2011.07.03	1.60605	1.61391	1.59307	1.60568	398762	0	15
2011.07.10	1.60299	1.61925	1.57807	1.61322	478735	0	15
2011.07.17	1.61174	1.63383	1.60047	1.62973	464826	0	10
2011.07.24	1.63304	1.64695	1.62609	1.64192	399260	16105772000	8
2011.07.31	1.63904	1.64745	1.62233	1.63890	473837	21883369000	8
2011.08.07	1.64539	1.64704	1.61101	1.62748	568278	0	9
2011.08.14	1.62865	1.66174	1.62546	1.64624	474724	0	10
2011.08.21	1.64724	1.65700	1.62078	1.63667	436972	0	4
2011.08.28	1.63396	1.64339	1.61314	1.62148	409953	164213610001	8
2011.09.04	1.61707	1.61852	1.58435	1.58782	501215	0	15
2011.09.11	1.58301	1.58853	1.57065	1.57868	519111	0	9
2011.09.18	1.57159	1.57546	1.53271	1.54459	535201	0	8
2011.09.25	1.54742	1.57146	1.54319	1.55793	539934	0	7
2011.10.02	1.55717	1.56450	1.52721	1.55575	577239	0	4
2011.10.09	1.55537	1.58508	1.55263	1.58170	508915	0	12
2011.10.16	1.58184	1.59728	1.56314	1.59459	541165	0	15
2011.10.23	1.59424	1.61504	1.58906	1.61275	534143	0	9
2011.10.30	1.61302	1.61641	1.58770	1.60308	548731	0	15
2011.11.06	1.60547	1.61291	1.58680	1.60679	483359	0	15
2011.11.13	1.60703	1.60896	1.56905	1.58026	513588	0	8
2011.11.20	1.57826	1.57832	1.54228	1.54330	468891	0	9
2011.11.27	1.54894	1.57787	1.54583	1.55945	451415	0	9
2011.12.04	1.56028	1.57679	1.55610	1.56654	434844	0	4
2011.12.11	1.56448	1.56566	1.54087	1.55421	428559	0	9
2011.12.18	1.55235	1.57731	1.54645	1.55841	341276	0	4
2011.12.25	1.56266	1.56899	1.53616	1.55366	304109	0	15
2012.01.01	1.54937	1.56687	1.53751	1.54243	376095	0	15
2012.01.08	1.54151	1.54995	1.52358	1.53156	410571	0	4
2012.01.15	1.52944	1.55765	1.52818	1.55737	400435	0	4
2012.01.22	1.55401	1.57392	1.55161	1.57269	401317	0	4
2012.01.29	1.57253	1.58821	1.56534	1.58107	415493	0	4
2012.02.05	1.58193	1.59277	1.57294	1.57525	425833	0	15
2012.02.12	1.57904	1.58612	1.56445	1.58330	406244	0	15
2012.02.19	1.58615	1.58983	1.56480	1.58711	368262	0	9
2012.02.26	1.58919	1.59908	1.57992	1.58322	292965	0	15
2012.03.04	1.58317	1.58809	1.56618	1.56720	318326	0	14
2012.03.11	1.56662	1.58601	1.56024	1.58398	321596	0	15
2012.03.18	1.58440	1.59222	1.57690	1.58663	314763	0	15
2012.03.25	1.58712	1.60357	1.58008	1.60061	336345	0	9
2012.04.01	1.60062	1.60617	1.58042	1.58645	328066	0	9
2012.04.08	1.58895	1.59835	1.58088	1.58444	333163	0	10
2012.04.15	1.58501	1.61483	1.58180	1.61215	344094	0	10
2012.04.22	1.61260	1.62793	1.60759	1.62594	313947	0	10
2012.04.29	1.62735	1.63006	1.61408	1.61470	288155	0	10
2012.05.06	1.61501	1.61975	1.60611	1.60656	338761	0	10
2012.05.13	1.60656	1.61219	1.57322	1.58146	349753	0	10
2012.05.20	1.58104	1.58474	1.56298	1.56641	377400	0	4
2012.05.27	1.56790	1.57161	1.52677	1.53591	442326	0	10
2012.06.03	1.53722	1.55999	1.53213	1.54682	447548	0	10
2012.06.10	1.55203	1.57263	1.54537	1.57111	437923	0	10
2012.06.17	1.57370	1.57764	1.55563	1.55825	460140	0	10
2012.06.24	1.55831	1.57143	1.54843	1.57040	387203	0	10
2012.07.01	1.56956	1.57207	1.54605	1.54887	340734	0	10
2012.07.08	1.54758	1.55797	1.53927	1.55741	324497	0	10
2012.07.15	1.55812	1.57351	1.55164	1.56195	335646	0	10
2012.07.22	1.56049	1.57668	1.54581	1.57439	385250	0	10
2012.07.29	1.57331	1.57395	1.54898	1.56371	359609	0	4
2012.08.05	1.56362	1.57001	1.55453	1.56873	337365	0	10
2012.08.12	1.56759	1.57437	1.56353	1.56935	302201	0	10
2012.08.19	1.56968	1.59113	1.56772	1.58089	304358	0	10
2012.08.26	1.58138	1.58940	1.57534	1.58636	248533	0	10
2012.09.02	1.58808	1.60333	1.58258	1.60075	303045	0	10
2012.09.09	1.60109	1.62541	1.59582	1.62143	330437	0	10
2012.09.16	1.62275	1.63086	1.61627	1.62286	343524	0	10
2012.09.23	1.62427	1.62714	1.61123	1.61638	360829	0	10
2012.09.30	1.61544	1.62161	1.60661	1.61341	341203	0	4
2012.10.07	1.61362	1.61384	1.59759	1.60673	312920	0	4
2012.10.14	1.60769	1.61777	1.59965	1.59993	284621	0	10
2012.10.21	1.60064	1.61427	1.59126	1.61027	278493	0	6
2012.10.28	1.60845	1.61743	1.60058	1.60208	213208	0	3
2012.11.04	1.60196	1.60419	1.58873	1.58938	285409	0	4
2012.11.11	1.59026	1.59149	1.58274	1.58792	265803	0	9
2012.11.18	1.58898	1.60504	1.58827	1.60252	250757	0	10
2012.11.25	1.60235	1.60617	1.59618	1.60107	274447	0	4
2012.12.02	1.60221	1.61303	1.60016	1.60374	267899	0	4
2012.12.09	1.60335	1.61768	1.60130	1.61718	252162	0	4
2012.12.16	1.61796	1.63061	1.61512	1.61686	264708	0	5
2012.12.23	1.61569	1.62055	1.60662	1.61455	172644	0	4
2012.12.30	1.61644	1.63806	1.60099	1.60678	209591	0	2
2013.01.06	1.60770	1.61761	1.59925	1.61271	251491	0	6
2013.01.13	1.61277	1.61542	1.58540	1.58660	291293	0	2
2013.01.20	1.58528	1.58932	1.57453	1.57955	272075	0	6
2013.01.27	1.57777	1.58782	1.56742	1.56913	274496	0	6
