<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.09.11	1.29155	1.29508	1.28962	1.29228	43669	0	0
2014.09.12	1.29219	1.29783	1.29079	1.29615	59426	0	0
2014.09.15	1.29710	1.29710	1.29077	1.29388	52905	0	0
2014.09.16	1.29385	1.29941	1.29213	1.29581	70580	0	0
2014.09.17	1.29581	1.29805	1.28515	1.28634	78979	0	0
2014.09.18	1.28632	1.29292	1.28332	1.29216	55463	0	0
2014.09.19	1.29216	1.29278	1.28290	1.28293	58013	0	0
2014.09.22	1.28292	1.28669	1.28153	1.28474	43020	0	9
2014.09.23	1.28484	1.28997	1.28417	1.28453	46810	0	2
2014.09.24	1.28452	1.28627	1.27733	1.27790	48610	0	0
2014.09.25	1.27789	1.27824	1.26981	1.27496	58137	0	0
2014.09.26	1.27493	1.27599	1.26760	1.26807	51306	0	0
2014.09.29	1.26783	1.27139	1.26627	1.26842	51437	0	0
2014.09.30	1.26839	1.27014	1.25701	1.26295	61053	0	0
2014.10.01	1.26291	1.26387	1.25825	1.26209	65908	0	0
2014.10.02	1.26209	1.26978	1.26126	1.26673	77316	0	0
2014.10.03	1.26672	1.26737	1.24996	1.25146	53664	0	0
2014.10.06	1.25105	1.26737	1.25079	1.26538	48868	0	0
2014.10.07	1.26537	1.26810	1.25827	1.26676	64308	0	0
2014.10.08	1.26676	1.27478	1.26218	1.27321	64397	0	0
2014.10.09	1.27321	1.27904	1.26633	1.26896	86790	0	0
2014.10.10	1.26892	1.27150	1.26045	1.26227	66273	0	0
2014.10.13	1.26293	1.27607	1.26196	1.27493	63271	0	0
2014.10.14	1.27488	1.27673	1.26392	1.26565	76641	0	0
2014.10.15	1.26563	1.28856	1.26239	1.28367	101393	0	0
2014.10.16	1.28351	1.28439	1.27047	1.28074	99897	0	0
2014.10.17	1.28076	1.28360	1.27431	1.27578	62653	0	0
2014.10.20	1.27484	1.28158	1.27305	1.27985	54525	0	0
2014.10.21	1.27997	1.28393	1.27136	1.27144	77299	0	0
2014.10.22	1.27146	1.27387	1.26363	1.26476	77091	0	0
2014.10.23	1.26471	1.26759	1.26132	1.26448	71192	0	0
2014.10.24	1.26448	1.26948	1.26340	1.26673	67407	0	0
2014.10.27	1.26726	1.27223	1.26649	1.26962	64194	0	0
2014.10.28	1.26972	1.27640	1.26838	1.27323	64513	0	0
2014.10.29	1.27323	1.27699	1.26260	1.26358	72160	0	0
2014.10.30	1.26355	1.26385	1.25466	1.26121	82392	0	0
2014.10.31	1.26122	1.26154	1.24848	1.25226	73657	0	0
2014.11.03	1.25035	1.25132	1.24392	1.24800	88481	0	0
2014.11.04	1.24800	1.25766	1.24800	1.25452	90576	0	0
2014.11.05	1.25453	1.25662	1.24566	1.24845	103821	0	0
2014.11.06	1.24844	1.25326	1.23636	1.23734	109080	0	0
2014.11.07	1.23724	1.24689	1.23570	1.24520	101629	0	0
2014.11.10	1.24685	1.25085	1.24179	1.24195	66327	0	0
2014.11.11	1.24194	1.24985	1.23935	1.24737	78340	0	0
2014.11.12	1.24737	1.24970	1.24185	1.24369	96225	0	0
2014.11.13	1.24370	1.24910	1.24257	1.24756	76185	0	0
2014.11.14	1.24756	1.25454	1.23978	1.25227	91571	0	0
2014.11.17	1.25301	1.25765	1.24442	1.24487	80733	0	0
2014.11.18	1.24487	1.25445	1.24427	1.25347	80477	0	0
2014.11.19	1.25348	1.25991	1.25115	1.25528	86859	0	0
2014.11.20	1.25519	1.25744	1.25040	1.25370	96442	0	0
2014.11.21	1.25369	1.25673	1.23742	1.23897	97757	0	0
2014.11.24	1.23591	1.24438	1.23591	1.24408	73423	0	0
2014.11.25	1.24404	1.24862	1.24013	1.24733	75532	0	0
2014.11.26	1.24730	1.25305	1.24428	1.25044	75878	0	0
2014.11.27	1.25042	1.25227	1.24637	1.24658	52610	0	0
2014.11.28	1.24637	1.24893	1.24253	1.24486	71746	0	0
2014.12.01	1.24649	1.25059	1.24181	1.24678	87583	0	0
2014.12.02	1.24675	1.24753	1.23760	1.23821	74152	0	5
2014.12.03	1.23814	1.23898	1.23005	1.23099	79043	0	17
2014.12.04	1.23097	1.24556	1.22789	1.23774	87930	0	17
2014.12.05	1.23773	1.23922	1.22701	1.22861	81172	0	17
2014.12.08	1.22868	1.23433	1.22464	1.23157	77298	0	17
2014.12.09	1.23154	1.24474	1.22912	1.23731	97871	0	17
2014.12.10	1.23729	1.24475	1.23611	1.24469	92109	0	17
2014.12.11	1.24473	1.24943	1.23694	1.24094	101501	0	17
2014.12.12	1.24082	1.24845	1.23835	1.24564	86259	0	17
2014.12.15	1.24743	1.24779	1.24138	1.24354	84468	0	17
2014.12.16	1.24363	1.25690	1.24333	1.25094	103725	0	17
2014.12.17	1.25095	1.25150	1.23208	1.23407	99157	0	17
2014.12.18	1.23415	1.23516	1.22651	1.22852	89519	0	17
2014.12.19	1.22846	1.23015	1.22193	1.22283	75874	0	17
2014.12.22	1.22221	1.22717	1.22158	1.22285	49166	0	17
2014.12.23	1.22289	1.22448	1.21641	1.21718	51969	0	17
2014.12.24	1.21718	1.22193	1.21686	1.21875	28760	0	17
2014.12.26	1.22122	1.22158	1.21674	1.21784	17288	0	17
2014.12.29	1.21764	1.22202	1.21421	1.21513	44573	0	17
2014.12.30	1.21508	1.21866	1.21231	1.21583	50140	0	17
2014.12.31	1.21574	1.21690	1.20966	1.20999	32054	0	17
2015.01.02	1.20481	1.20689	1.19993	1.20002	46909	0	17
2015.01.05	1.19511	1.19756	1.18599	1.19322	88646	0	17
