<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.10.24	0.89058	0.89406	0.86685	0.86912	264846	0	15
2010.10.31	0.87061	0.88169	0.86515	0.86684	294084	0	15
2010.11.07	0.86803	0.86905	0.84485	0.84968	326005	0	15
2010.11.14	0.84830	0.85688	0.84522	0.85539	330764	0	15
2010.11.21	0.85823	0.85948	0.84201	0.84886	359603	0	15
2010.11.28	0.85085	0.85249	0.83336	0.85031	389730	0	15
2010.12.05	0.84997	0.85095	0.83559	0.83657	349740	0	13
2010.12.12	0.83560	0.85517	0.83477	0.84905	323066	0	5
2010.12.19	0.84855	0.85251	0.84458	0.84951	286549	0	10
2010.12.26	0.84921	0.86461	0.84786	0.85738	273691	0	12
2011.01.02	0.85822	0.86449	0.82971	0.83000	357053	0	10
2011.01.09	0.82977	0.84977	0.82847	0.84343	377212	0	10
2011.01.16	0.84207	0.85272	0.83305	0.85100	369405	0	10
2011.01.23	0.85076	0.86713	0.84920	0.85802	372168	0	4
2011.01.30	0.85750	0.86184	0.84229	0.84300	327764	0	10
2011.02.06	0.84262	0.85279	0.83887	0.84618	218925	0	10
2011.02.13	0.84488	0.84494	0.83549	0.84216	263127	0	10
2011.02.20	0.84233	0.85925	0.83837	0.85295	313398	0	10
2011.02.27	0.85465	0.86062	0.84604	0.85942	286493	0	10
2011.03.06	0.85957	0.86550	0.85337	0.86438	287035	0	10
2011.03.13	0.86738	0.87607	0.86274	0.87320	375577	0	10
2011.03.20	0.87370	0.88107	0.86537	0.87807	288620	0	10
2011.03.27	0.87731	0.88521	0.87525	0.88329	283791	0	10
2011.04.03	0.88319	0.88426	0.87137	0.88381	289963	0	10
2011.04.10	0.88222	0.89229	0.87923	0.88354	311828	0	10
2011.04.17	0.88312	0.88780	0.87399	0.88173	290346	0	10
2011.04.24	0.88142	0.89364	0.88048	0.88589	293352	11602540000	8
2011.05.01	0.88699	0.90416	0.87446	0.87466	330410	0	10
2011.05.08	0.87706	0.88170	0.86722	0.87126	292062	0	10
2011.05.15	0.86992	0.88447	0.86810	0.87208	170658	0	8
2011.05.22	0.87101	0.87514	0.86102	0.86676	239182	0	8
2011.05.29	0.86772	0.89214	0.86551	0.89081	267299	0	10
2011.06.05	0.89046	0.89748	0.88284	0.88453	202288	0	10
2011.06.12	0.88236	0.88541	0.87208	0.88373	316190	0	10
2011.06.19	0.88300	0.89518	0.87899	0.88804	316498	0	10
2011.06.26	0.88872	0.90826	0.88575	0.90367	300031	0	10
2011.07.03	0.90480	0.90661	0.88650	0.88822	295447	0	10
2011.07.10	0.88686	0.88906	0.87446	0.87670	371422	0	10
2011.07.17	0.87589	0.88537	0.87047	0.88028	323158	0	7
2011.07.24	0.88158	0.88831	0.87331	0.87613	324295	25975440000	8
2011.07.31	0.87534	0.88048	0.86422	0.87080	380766	40155210000	7
2011.08.07	0.87272	0.88851	0.86627	0.87499	431349	0	7
2011.08.14	0.87546	0.88289	0.86533	0.87369	356482	0	6
2011.08.21	0.87208	0.88666	0.86958	0.88538	311131	0	4
